entidad_federativa,mes,accidentes,danios_materiales_millones,heridos,muertos
Tlaxcala,diciembre,29.0,1.534,11.0,2.0
Veracruz,enero,104.0,9.7526,77.0,33.0
Veracruz,febrero,91.0,7.1902,56.0,14.0
Veracruz,marzo,103.0,9.1293,89.0,22.0
Veracruz,abril,125.0,11.9655,95.0,24.0
Veracruz,mayo,150.0,8.856,115.0,21.0
Veracruz,junio,98.0,8.1236,70.0,18.0
Veracruz,julio,94.0,10.2075,78.0,20.0
Veracruz,agosto,103.0,7.9767,60.0,23.0
Veracruz,septiembre,106.0,12.746,53.0,25.0
Veracruz,octubre,117.0,11.457,57.0,32.0
Veracruz,noviembre,105.0,9.266,85.0,25.0
Veracruz,diciembre,94.0,11.265,56.0,12.0
Yucatan,enero,20.0,2.992,24.0,8.0
Yucatan,febrero,19.0,1.277,30.0,1.0
Yucatan,marzo,16.0,0.933,13.0,7.0
Yucatan,abril,20.0,1.0935,16.0,6.0
Yucatan,mayo,24.0,1.9625,20.0,1.0
Yucatan,junio,18.0,1.3993,12.0,1.0
Yucatan,julio,11.0,1.086,10.0,3.0
Yucatan,agosto,9.0,1.3,4.0,0.0
Yucatan,septiembre,8.0,0.618,3.0,1.0
Yucatan,octubre,17.0,2.0715,14.0,0.0
Yucatan,noviembre,9.0,0.433,6.0,1.0
Yucatan,diciembre,13.0,0.8755,16.0,1.0
Zacatecas,enero,31.0,3.067,44.0,4.0
Zacatecas,febrero,34.0,3.2672,32.0,8.0
Zacatecas,marzo,39.0,3.019,39.0,6.0
Zacatecas,abril,50.0,4.607,54.0,10.0
Zacatecas,mayo,35.0,3.731,48.0,2.0
Zacatecas,junio,36.0,2.371,31.0,8.0
Zacatecas,julio,34.0,3.034,24.0,8.0
Zacatecas,agosto,27.0,2.097,22.0,8.0
Zacatecas,septiembre,36.0,2.87,33.0,8.0
Zacatecas,octubre,34.0,2.469,34.0,12.0
Zacatecas,noviembre,38.0,3.306,58.0,12.0
Zacatecas,diciembre,58.0,5.659,46.0,12.0
